month,region,actual_demand,predicted_demand
2024-06-30,1,59703,59445.574
2024-06-30,2,62085,62344.414
2024-06-30,3,118479,118760.88
2024-06-30,4,54486,54560.363
2024-07-31,0,54963,55247.055
2024-07-31,1,52234,52557.473
2024-07-31,2,54175,54760.766
2024-07-31,3,102792,103226.625
2024-07-31,4,47116,47232.508
2024-08-31,0,46872,46819.594
2024-08-31,1,44155,44166.508
2024-08-31,2,45878,45999.9
2024-08-31,3,87401,87310.234
2024-08-31,4,40312,40289.082
2024-09-30,0,41258,41050.746
2024-09-30,1,38985,38687.92
2024-09-30,2,40545,40602.895
2024-09-30,3,77751,77787.53
2024-09-30,4,35549,35541.23
2024-10-31,0,42768,42942.496
2024-10-31,1,39883,39890.766
2024-10-31,2,41440,41598.566
2024-10-31,3,78988,78901.19
2024-10-31,4,36328,36296.973
2024-11-30,0,48067,48271.87
2024-11-30,1,45412,45298.758
2024-11-30,2,46768,46569.594
2024-11-30,3,89546,89421.945
2024-11-30,4,41203,41188.953
2024-12-31,0,56844,56825.164
2024-12-31,1,53415,53161.543
2024-12-31,2,55531,55640.902
2024-12-31,3,106026,106161.93
2024-12-31,4,48541,48403.715
2025-01-31,0,64812,64758.742
2025-01-31,1,60657,60475.816
2025-01-31,2,63160,63051.27
2025-01-31,3,120960,120677.35
2025-01-31,4,55008,54768.97
2025-02-28,0,65309,65121.875
2025-02-28,1,62030,61781.566
2025-02-28,2,63974,64031.215
2025-02-28,3,122658,122621.984
2025-02-28,4,56158,55927.375
2025-03-31,0,77324,77244.18
2025-03-31,1,72875,72706.5
2025-03-31,2,75401,75458.914
2025-03-31,3,145327,145728.98
2025-03-31,4,66312,66307.39
2025-04-30,0,74797,74695.04
2025-04-30,1,70744,70566.6
2025-04-30,2,72842,73022.766
2025-04-30,3,139392,139627.31
2025-04-30,4,63680,63356.812
2025-05-31,0,73380,73764.81
2025-05-31,1,68479,68303.555
2025-05-31,2,71000,70924.63
2025-05-31,3,136600,136635.58
2025-05-31,4,62404,62249.21
2025-06-30,0,62508,62529.516
2025-06-30,1,59075,59008.336
2025-06-30,2,61011,61085.156
2025-06-30,3,116713,116885.99
2025-06-30,4,53669,53695.633
2025-07-31,0,54985,54919.39
2025-07-31,1,52225,52096.2
2025-07-31,2,53877,54010.465
2025-07-31,3,103796,104248.305
2025-07-31,4,47038,47054.56
2025-08-31,0,48065,48143.484
2025-08-31,1,45388,45569.824
2025-08-31,2,46609,46798.61
2025-08-31,3,89685,90191.34
2025-08-31,4,41039,40984.79
2025-09-30,0,40878,40949.766
2025-09-30,1,38118,37930.867
2025-09-30,2,40056,40068.426
2025-09-30,3,75986,75981.43
2025-09-30,4,34817,34800.832
2025-10-31,0,42408,42275.05
2025-10-31,1,39642,39387.633
2025-10-31,2,41321,41474.977
2025-10-31,3,78477,78116.93
2025-10-31,4,36148,35922.246
2025-11-30,0,48570,48572.48
2025-11-30,1,45214,44731.12
2025-11-30,2,47379,47265.453
2025-11-30,3,90571,90259.3
2025-11-30,4,41224,40956.246
2025-12-31,0,56473,56375.945
2025-12-31,1,52816,52482.6
2025-12-31,2,54657,54964.098
2025-12-31,3,105245,105397.57
2025-12-31,4,47888,47691.418
