date,warehouse_id,avg_temperature_c,precipitation_mm,is_severe_weather
2023-02-21,W001,33.7,3.4,0
2023-02-22,W001,41.2,0.5,0
2023-02-23,W001,35.6,1.7,0
2023-02-24,W001,34.7,0.2,0
2023-02-25,W001,36.3,0.9,0
2023-02-26,W001,32.9,1.7,0
2023-02-27,W001,34.9,0.5,0
2023-02-28,W001,35.9,0.3,0
2023-03-01,W001,32.2,0.9,0
2023-03-02,W001,42.8,1.5,1
2023-03-03,W001,36.3,1.0,0
2023-03-04,W001,34.9,0.1,0
2023-03-05,W001,35.9,0.8,0
2023-03-06,W001,34.5,0.0,0
2023-03-07,W001,38.6,3.8,0
2023-03-08,W001,31.7,0.7,0
2023-03-09,W001,37.7,0.0,0
2023-03-10,W001,41.7,3.1,0
2023-03-11,W001,36.1,1.8,0
2023-03-12,W001,35.7,5.6,0
2023-03-13,W001,38.4,1.1,0
2023-03-14,W001,42.0,1.4,1
2023-03-15,W001,39.9,3.4,0
2023-03-16,W001,35.3,0.7,0
2023-03-17,W001,38.5,2.7,0
2023-03-18,W001,37.8,1.0,0
2023-03-19,W001,37.6,0.8,0
2023-03-20,W001,38.6,0.2,0
2023-03-21,W001,33.4,1.2,0
2023-03-22,W001,36.6,12.8,0
2023-03-23,W001,36.9,4.1,0
2023-03-24,W001,37.2,0.3,0
2023-03-25,W001,37.3,0.1,0
2023-03-26,W001,38.2,0.6,0
2023-03-27,W001,34.7,2.6,0
2023-03-28,W001,36.3,4.6,0
2023-03-29,W001,42.7,0.3,1
2023-03-30,W001,41.3,2.2,0
2023-03-31,W001,36.7,2.2,0
2023-04-01,W001,29.5,3.5,0
2023-04-02,W001,39.2,1.2,0
2023-04-03,W001,40.6,1.2,0
2023-04-04,W001,44.9,3.9,1
2023-04-05,W001,37.2,2.9,0
2023-04-06,W001,42.7,3.3,1
2023-04-07,W001,33.8,5.1,0
2023-04-08,W001,43.8,0.5,1
2023-04-09,W001,34.5,0.4,0
2023-04-10,W001,43.4,2.8,1
2023-04-11,W001,36.7,1.8,0
2023-04-12,W001,34.3,4.1,0
2023-04-13,W001,33.6,0.6,0
2023-04-14,W001,36.4,1.7,0
2023-04-15,W001,40.4,2.5,0
2023-04-16,W001,35.5,0.1,0
2023-04-17,W001,38.2,0.5,0
2023-04-18,W001,34.8,0.4,0
2023-04-19,W001,37.0,0.7,0
2023-04-20,W001,40.1,1.8,0
2023-04-21,W001,37.4,1.6,0
2023-04-22,W001,34.6,0.9,0
2023-04-23,W001,35.2,1.2,0
2023-04-24,W001,29.8,1.1,0
2023-04-25,W001,37.0,0.7,0
2023-04-26,W001,32.5,0.6,0
2023-04-27,W001,37.6,3.0,0
2023-04-28,W001,35.9,1.1,0
2023-04-29,W001,39.1,0.1,0
2023-04-30,W001,39.0,2.8,0
2023-05-01,W001,33.9,0.2,0
2023-05-02,W001,36.5,3.7,0
2023-05-03,W001,37.1,2.6,0
2023-05-04,W001,39.4,0.9,0
2023-05-05,W001,35.9,11.1,0
2023-05-06,W001,39.0,1.1,0
2023-05-07,W001,33.6,4.9,0
2023-05-08,W001,39.8,1.1,0
2023-05-09,W001,31.4,2.5,0
2023-05-10,W001,38.5,1.3,0
2023-05-11,W001,35.4,2.5,0
2023-05-12,W001,33.6,3.9,0
2023-05-13,W001,33.4,1.1,0
2023-05-14,W001,30.2,1.4,0
2023-05-15,W001,37.4,0.6,0
2023-05-16,W001,34.8,1.6,0
2023-05-17,W001,30.1,2.5,0
2023-05-18,W001,36.6,3.3,0
2023-05-19,W001,36.1,3.2,0
2023-05-20,W001,34.2,4.2,0
2023-05-21,W001,37.8,4.0,0
2023-05-22,W001,31.8,0.4,0
2023-05-23,W001,34.4,0.5,0
2023-05-24,W001,28.3,0.7,0
2023-05-25,W001,30.2,1.7,0
2023-05-26,W001,28.7,4.2,0
2023-05-27,W001,35.0,1.0,0
2023-05-28,W001,30.6,0.4,0
2023-05-29,W001,32.0,2.1,0
2023-05-30,W001,30.4,1.1,0
2023-05-31,W001,28.8,3.8,0
2023-06-01,W001,34.0,0.8,0
2023-06-02,W001,29.7,2.9,0
2023-06-03,W001,30.8,0.6,0
2023-06-04,W001,29.8,1.6,0
2023-06-05,W001,30.4,2.0,0
2023-06-06,W001,28.8,0.2,0
2023-06-07,W001,30.0,2.7,0
2023-06-08,W001,25.9,0.3,0
2023-06-09,W001,29.5,1.6,0
2023-06-10,W001,32.2,1.2,0
2023-06-11,W001,28.7,1.7,0
2023-06-12,W001,27.9,0.6,0
2023-06-13,W001,24.6,7.7,0
2023-06-14,W001,27.7,0.4,0
2023-06-15,W001,30.5,0.2,0
2023-06-16,W001,27.4,1.9,0
2023-06-17,W001,28.9,0.8,0
2023-06-18,W001,28.7,4.9,0
2023-06-19,W001,33.6,4.4,0
2023-06-20,W001,31.8,0.3,0
2023-06-21,W001,26.7,2.7,0
2023-06-22,W001,29.2,0.4,0
2023-06-23,W001,27.3,0.7,0
2023-06-24,W001,21.9,2.5,0
2023-06-25,W001,28.1,1.3,0
2023-06-26,W001,30.8,0.2,0
2023-06-27,W001,27.4,0.0,0
2023-06-28,W001,28.8,0.1,0
2023-06-29,W001,21.8,1.3,0
2023-06-30,W001,30.1,2.7,0
2023-07-01,W001,23.0,6.7,0
2023-07-02,W001,25.8,6.5,0
2023-07-03,W001,24.2,7.2,0
2023-07-04,W001,29.1,4.9,0
2023-07-05,W001,27.4,1.4,0
2023-07-06,W001,33.7,1.5,0
2023-07-07,W001,30.6,1.8,0
2023-07-08,W001,24.8,0.4,0
2023-07-09,W001,30.6,5.8,0
2023-07-10,W001,24.6,0.9,0
2023-07-11,W001,21.2,2.0,0
2023-07-12,W001,24.9,2.5,0
2023-07-13,W001,28.5,1.7,0
2023-07-14,W001,19.1,0.9,0
2023-07-15,W001,23.3,9.3,0
2023-07-16,W001,25.8,2.0,0
2023-07-17,W001,20.6,3.7,0
2023-07-18,W001,24.8,1.5,0
2023-07-19,W001,21.8,6.3,0
2023-07-20,W001,25.4,0.5,0
2023-07-21,W001,21.1,0.3,0
2023-07-22,W001,21.4,1.6,0
2023-07-23,W001,20.6,0.3,0
2023-07-24,W001,21.7,0.8,0
2023-07-25,W001,25.7,6.2,0
2023-07-26,W001,24.0,1.3,0
2023-07-27,W001,23.2,1.7,0
2023-07-28,W001,20.9,2.4,0
2023-07-29,W001,21.4,0.7,0
2023-07-30,W001,17.6,6.7,0
2023-07-31,W001,26.5,1.4,0
2023-08-01,W001,22.1,2.0,0
2023-08-02,W001,27.8,4.0,0
2023-08-03,W001,23.2,1.9,0
2023-08-04,W001,22.6,2.6,0
2023-08-05,W001,19.6,0.9,0
2023-08-06,W001,22.7,1.6,0
2023-08-07,W001,17.3,1.2,0
2023-08-08,W001,17.8,1.6,0
2023-08-09,W001,23.5,0.3,0
2023-08-10,W001,19.8,3.6,0
2023-08-11,W001,17.6,0.6,0
2023-08-12,W001,18.9,0.9,0
2023-08-13,W001,21.9,2.1,0
2023-08-14,W001,21.6,1.9,0
2023-08-15,W001,24.7,4.0,0
2023-08-16,W001,21.7,4.6,0
2023-08-17,W001,18.9,1.1,0
2023-08-18,W001,19.9,0.9,0
2023-08-19,W001,15.1,5.5,0
2023-08-20,W001,18.5,2.1,0
2023-08-21,W001,18.2,1.6,0
2023-08-22,W001,19.8,2.8,0
2023-08-23,W001,14.2,2.1,0
2023-08-24,W001,20.2,0.9,0
2023-08-25,W001,21.5,1.7,0
2023-08-26,W001,15.8,1.2,0
2023-08-27,W001,23.0,2.7,0
2023-08-28,W001,22.5,1.3,0
2023-08-29,W001,18.6,0.9,0
2023-08-30,W001,17.0,12.9,0
2023-08-31,W001,18.3,4.4,0
2023-09-01,W001,19.9,3.5,0
2023-09-02,W001,19.5,1.5,0
2023-09-03,W001,14.9,2.0,0
2023-09-04,W001,13.9,4.2,0
2023-09-05,W001,13.9,6.8,0
2023-09-06,W001,20.5,3.8,0
2023-09-07,W001,14.2,4.2,0
2023-09-08,W001,18.4,0.6,0
2023-09-09,W001,19.4,0.7,0
2023-09-10,W001,19.5,0.3,0
2023-09-11,W001,16.2,1.2,0
2023-09-12,W001,19.4,0.9,0
2023-09-13,W001,17.5,0.3,0
2023-09-14,W001,15.6,0.2,0
2023-09-15,W001,12.4,1.0,0
2023-09-16,W001,19.4,0.5,0
2023-09-17,W001,24.8,2.1,0
2023-09-18,W001,17.3,2.5,0
2023-09-19,W001,20.4,0.3,0
2023-09-20,W001,16.9,2.2,0
2023-09-21,W001,21.6,6.2,0
2023-09-22,W001,13.4,0.6,0
2023-09-23,W001,18.6,3.7,0
2023-09-24,W001,17.8,0.3,0
2023-09-25,W001,20.0,0.5,0
2023-09-26,W001,18.1,1.1,0
2023-09-27,W001,17.5,3.0,0
2023-09-28,W001,22.3,2.1,0
2023-09-29,W001,17.0,0.8,0
2023-09-30,W001,21.5,0.7,0
2023-10-01,W001,18.3,0.3,0
2023-10-02,W001,18.3,0.2,0
2023-10-03,W001,21.1,0.6,0
2023-10-04,W001,18.5,1.4,0
2023-10-05,W001,13.0,1.0,0
2023-10-06,W001,18.1,1.6,0
2023-10-07,W001,20.7,2.0,0
2023-10-08,W001,11.0,2.0,0
2023-10-09,W001,22.2,1.5,0
2023-10-10,W001,18.6,1.9,0
2023-10-11,W001,17.6,0.2,0
2023-10-12,W001,16.0,0.3,0
2023-10-13,W001,10.5,0.1,0
2023-10-14,W001,14.5,2.3,0
2023-10-15,W001,20.6,3.0,0
2023-10-16,W001,13.4,2.0,0
2023-10-17,W001,20.8,4.4,0
2023-10-18,W001,23.4,1.8,0
2023-10-19,W001,20.8,0.1,0
2023-10-20,W001,25.2,0.3,0
2023-10-21,W001,13.3,3.6,0
2023-10-22,W001,26.7,4.5,0
2023-10-23,W001,17.3,0.2,0
2023-10-24,W001,13.6,0.5,0
2023-10-25,W001,20.8,0.3,0
2023-10-26,W001,19.1,2.6,0
2023-10-27,W001,17.3,1.5,0
2023-10-28,W001,14.5,2.0,0
2023-10-29,W001,18.4,0.3,0
2023-10-30,W001,17.6,2.7,0
2023-10-31,W001,22.9,4.3,0
2023-11-01,W001,19.6,5.2,0
2023-11-02,W001,16.4,0.0,0
2023-11-03,W001,15.5,7.2,0
2023-11-04,W001,17.6,1.7,0
2023-11-05,W001,14.6,5.2,0
2023-11-06,W001,20.9,1.4,0
2023-11-07,W001,16.6,4.0,0
2023-11-08,W001,13.6,1.9,0
2023-11-09,W001,18.3,0.8,0
2023-11-10,W001,18.5,2.3,0
2023-11-11,W001,20.3,3.1,0
2023-11-12,W001,21.8,1.7,0
2023-11-13,W001,23.9,1.9,0
2023-11-14,W001,17.2,0.8,0
2023-11-15,W001,15.3,5.7,0
2023-11-16,W001,18.3,3.7,0
2023-11-17,W001,20.4,0.3,0
2023-11-18,W001,17.5,0.1,0
2023-11-19,W001,21.9,2.1,0
2023-11-20,W001,21.8,1.0,0
2023-11-21,W001,20.9,0.6,0
2023-11-22,W001,25.1,0.8,0
2023-11-23,W001,22.8,0.8,0
2023-11-24,W001,21.0,5.5,0
2023-11-25,W001,18.9,3.7,0
2023-11-26,W001,19.7,0.8,0
2023-11-27,W001,24.7,0.6,0
2023-11-28,W001,20.0,1.0,0
2023-11-29,W001,22.5,0.3,0
2023-11-30,W001,21.1,4.9,0
2023-12-01,W001,24.3,0.6,0
2023-12-02,W001,24.9,0.7,0
2023-12-03,W001,19.7,0.8,0
2023-12-04,W001,21.1,0.2,0
2023-12-05,W001,18.5,0.1,0
2023-12-06,W001,25.0,0.9,0
2023-12-07,W001,25.5,3.3,0
2023-12-08,W001,23.8,0.1,0
2023-12-09,W001,15.1,4.1,0
2023-12-10,W001,26.1,5.3,0
2023-12-11,W001,26.4,1.6,0
2023-12-12,W001,26.5,0.3,0
2023-12-13,W001,27.2,3.4,0
2023-12-14,W001,26.1,0.3,0
2023-12-15,W001,24.7,3.9,0
2023-12-16,W001,23.4,0.1,0
2023-12-17,W001,25.1,5.1,0
2023-12-18,W001,26.7,2.5,0
2023-12-19,W001,20.8,1.7,0
2023-12-20,W001,28.0,1.8,0
2023-12-21,W001,24.2,0.3,0
2023-12-22,W001,26.7,6.5,0
2023-12-23,W001,25.6,0.6,0
2023-12-24,W001,27.6,6.7,0
2023-12-25,W001,26.6,0.9,0
2023-12-26,W001,28.3,1.1,0
2023-12-27,W001,29.8,1.1,0
2023-12-28,W001,29.2,2.1,0
2023-12-29,W001,29.2,1.0,0
2023-12-30,W001,25.0,0.2,0
2023-12-31,W001,26.5,0.7,0
2024-01-01,W001,28.5,0.6,0
2024-01-02,W001,21.3,2.2,0
2024-01-03,W001,31.9,0.4,0
2024-01-04,W001,28.0,3.7,0
2024-01-05,W001,24.4,0.2,0
2024-01-06,W001,26.7,4.1,0
2024-01-07,W001,35.3,2.1,0
2024-01-08,W001,27.9,1.6,0
2024-01-09,W001,27.9,3.0,0
2024-01-10,W001,29.0,0.1,0
2024-01-11,W001,27.8,0.7,0
2024-01-12,W001,34.3,1.7,0
2024-01-13,W001,26.8,1.4,0
2024-01-14,W001,30.5,4.5,0
2024-01-15,W001,25.2,0.8,0
2024-01-16,W001,28.1,1.6,0
2024-01-17,W001,29.3,1.0,0
2024-01-18,W001,31.1,1.4,0
2024-01-19,W001,26.3,0.8,0
2024-01-20,W001,27.5,1.6,0
2024-01-21,W001,26.4,1.1,0
2024-01-22,W001,29.6,2.0,0
2024-01-23,W001,34.4,1.3,0
2024-01-24,W001,32.1,1.0,0
2024-01-25,W001,36.2,4.2,0
2024-01-26,W001,32.4,1.0,0
2024-01-27,W001,31.8,0.5,0
2024-01-28,W001,40.2,0.3,0
2024-01-29,W001,26.8,0.3,0
2024-01-30,W001,34.6,0.6,0
2024-01-31,W001,33.3,1.5,0
2024-02-01,W001,30.8,1.3,0
2024-02-02,W001,32.7,0.1,0
2024-02-03,W001,35.6,4.4,0
2024-02-04,W001,33.4,0.5,0
2024-02-05,W001,32.7,1.3,0
2024-02-06,W001,30.6,0.1,0
2024-02-07,W001,35.1,2.9,0
2024-02-08,W001,31.2,1.9,0
2024-02-09,W001,32.1,4.3,0
2024-02-10,W001,32.0,0.5,0
2024-02-11,W001,35.3,1.2,0
2024-02-12,W001,39.0,2.0,0
2024-02-13,W001,29.1,3.9,0
2024-02-14,W001,30.3,1.1,0
2024-02-15,W001,34.8,1.0,0
2024-02-16,W001,31.4,1.9,0
2024-02-17,W001,34.4,6.5,0
2024-02-18,W001,36.0,4.9,0
2024-02-19,W001,33.1,0.2,0
2024-02-20,W001,42.9,3.2,1
2024-02-21,W001,37.4,0.9,0
2024-02-22,W001,37.3,4.3,0
2024-02-23,W001,29.5,0.2,0
2024-02-24,W001,38.2,0.1,0
2024-02-25,W001,36.7,6.5,0
2024-02-26,W001,38.8,1.1,0
2024-02-27,W001,37.2,1.0,0
2024-02-28,W001,39.6,7.6,0
2024-02-29,W001,36.0,0.9,0
2024-03-01,W001,33.1,0.3,0
2024-03-02,W001,35.9,1.6,0
2024-03-03,W001,39.4,6.2,0
2024-03-04,W001,41.3,0.5,0
2024-03-05,W001,38.3,0.4,0
2024-03-06,W001,36.0,0.2,0
2024-03-07,W001,37.3,3.4,0
2024-03-08,W001,35.9,2.5,0
2024-03-09,W001,36.2,0.0,0
2024-03-10,W001,34.1,0.2,0
2024-03-11,W001,38.5,0.7,0
2024-03-12,W001,36.0,1.6,0
2024-03-13,W001,33.2,0.1,0
2024-03-14,W001,38.5,0.3,0
2024-03-15,W001,29.7,1.3,0
2024-03-16,W001,34.3,0.1,0
2024-03-17,W001,33.4,1.5,0
2024-03-18,W001,42.0,0.3,1
2024-03-19,W001,38.1,1.7,0
2024-03-20,W001,34.6,1.2,0
2024-03-21,W001,36.9,3.2,0
2024-03-22,W001,34.9,3.4,0
2024-03-23,W001,37.7,0.7,0
2024-03-24,W001,39.4,5.2,0
2024-03-25,W001,31.2,0.6,0
2024-03-26,W001,38.2,0.7,0
2024-03-27,W001,41.0,0.4,0
2024-03-28,W001,37.6,1.2,0
2024-03-29,W001,39.2,6.3,0
2024-03-30,W001,35.3,0.4,0
2024-03-31,W001,36.1,2.4,0
2024-04-01,W001,36.0,1.0,0
2024-04-02,W001,33.7,1.7,0
2024-04-03,W001,41.1,1.4,0
2024-04-04,W001,29.9,0.6,0
2024-04-05,W001,41.2,3.8,0
2024-04-06,W001,34.3,0.8,0
2024-04-07,W001,39.3,11.6,0
2024-04-08,W001,44.1,3.4,1
2024-04-09,W001,35.7,7.8,0
2024-04-10,W001,34.5,0.9,0
2024-04-11,W001,44.1,9.9,1
2024-04-12,W001,35.8,1.4,0
2024-04-13,W001,34.1,2.1,0
2024-04-14,W001,38.1,2.9,0
2024-04-15,W001,31.6,0.1,0
2024-04-16,W001,37.0,0.9,0
2024-04-17,W001,44.6,0.1,1
2024-04-18,W001,34.5,3.3,0
2024-04-19,W001,36.4,1.0,0
2024-04-20,W001,37.1,0.3,0
2024-04-21,W001,39.8,8.0,0
2024-04-22,W001,37.2,0.3,0
2024-04-23,W001,38.6,0.7,0
2024-04-24,W001,34.2,0.9,0
2024-04-25,W001,40.8,0.6,0
2024-04-26,W001,31.4,1.8,0
2024-04-27,W001,34.6,1.8,0
2024-04-28,W001,41.2,3.8,0
2024-04-29,W001,36.4,0.1,0
2024-04-30,W001,39.0,0.2,0
2024-05-01,W001,29.7,0.2,0
2024-05-02,W001,33.4,4.9,0
2024-05-03,W001,39.4,0.6,0
2024-05-04,W001,35.5,0.4,0
2024-05-05,W001,36.6,1.6,0
2024-05-06,W001,34.5,4.1,0
2024-05-07,W001,35.4,1.2,0
2024-05-08,W001,32.1,0.2,0
2024-05-09,W001,34.8,0.6,0
2024-05-10,W001,31.5,1.0,0
2024-05-11,W001,40.1,7.9,0
2024-05-12,W001,36.6,0.8,0
2024-05-13,W001,36.0,0.1,0
2024-05-14,W001,35.5,4.9,0
2024-05-15,W001,36.9,0.5,0
2024-05-16,W001,37.4,4.5,0
2024-05-17,W001,34.4,0.6,0
2024-05-18,W001,33.7,2.6,0
2024-05-19,W001,37.1,0.6,0
2024-05-20,W001,36.1,3.3,0
2024-05-21,W001,36.6,0.9,0
2024-05-22,W001,34.9,1.7,0
2024-05-23,W001,31.5,0.5,0
2024-05-24,W001,33.8,1.1,0
2024-05-25,W001,35.4,0.5,0
2024-05-26,W001,33.9,0.4,0
2024-05-27,W001,34.5,1.0,0
2024-05-28,W001,35.9,1.5,0
2024-05-29,W001,32.7,2.6,0
2024-05-30,W001,37.1,1.5,0
2024-05-31,W001,27.4,1.2,0
2024-06-01,W001,32.9,4.5,0
2024-06-02,W001,28.3,0.7,0
2024-06-03,W001,26.4,2.8,0
2024-06-04,W001,27.5,0.5,0
2024-06-05,W001,30.7,2.2,0
2024-06-06,W001,34.1,2.6,0
2024-06-07,W001,33.0,0.6,0
2024-06-08,W001,33.6,0.1,0
2024-06-09,W001,31.5,0.7,0
2024-06-10,W001,36.7,1.2,0
2024-06-11,W001,31.5,0.6,0
2024-06-12,W001,34.9,1.2,0
2024-06-13,W001,30.0,5.6,0
2024-06-14,W001,31.2,2.5,0
2024-06-15,W001,31.9,3.7,0
2024-06-16,W001,26.8,3.9,0
2024-06-17,W001,29.0,0.3,0
2024-06-18,W001,33.3,0.4,0
2024-06-19,W001,32.6,2.5,0
2024-06-20,W001,24.6,0.0,0
2024-06-21,W001,25.9,0.7,0
2024-06-22,W001,24.2,3.2,0
2024-06-23,W001,34.0,0.2,0
2024-06-24,W001,27.0,0.8,0
2024-06-25,W001,27.4,1.3,0
2024-06-26,W001,24.0,3.2,0
2024-06-27,W001,21.6,0.4,0
2024-06-28,W001,26.8,0.2,0
2024-06-29,W001,22.9,1.4,0
2024-06-30,W001,31.7,0.1,0
2024-07-01,W001,31.3,2.0,0
2024-07-02,W001,30.9,1.8,0
2024-07-03,W001,25.4,0.7,0
2024-07-04,W001,21.1,9.3,0
2024-07-05,W001,22.8,12.5,0
2024-07-06,W001,26.2,0.6,0
2024-07-07,W001,24.2,1.8,0
2024-07-08,W001,27.7,7.9,0
2024-07-09,W001,20.4,4.5,0
2024-07-10,W001,26.7,6.6,0
2024-07-11,W001,25.5,1.0,0
2024-07-12,W001,22.5,3.2,0
2024-07-13,W001,25.4,7.6,0
2024-07-14,W001,23.7,0.2,0
2024-07-15,W001,21.8,0.0,0
2024-07-16,W001,27.1,2.9,0
2024-07-17,W001,20.4,2.3,0
2024-07-18,W001,25.5,0.0,0
2024-07-19,W001,29.2,6.2,0
2024-07-20,W001,21.7,8.6,0
2024-07-21,W001,21.8,4.6,0
2024-07-22,W001,29.4,0.9,0
2024-07-23,W001,22.8,1.0,0
2024-07-24,W001,22.4,3.6,0
2024-07-25,W001,23.6,4.2,0
2024-07-26,W001,20.6,10.0,0
2024-07-27,W001,25.6,2.5,0
2024-07-28,W001,23.3,3.3,0
2024-07-29,W001,17.8,4.5,0
2024-07-30,W001,25.1,1.2,0
2024-07-31,W001,22.1,1.4,0
2024-08-01,W001,18.5,2.2,0
2024-08-02,W001,26.9,2.3,0
2024-08-03,W001,23.9,1.8,0
2024-08-04,W001,25.0,0.7,0
2024-08-05,W001,26.3,1.7,0
2024-08-06,W001,24.2,2.1,0
2024-08-07,W001,22.7,12.9,0
2024-08-08,W001,22.6,5.3,0
2024-08-09,W001,12.4,2.2,0
2024-08-10,W001,22.6,5.9,0
2024-08-11,W001,24.0,1.3,0
2024-08-12,W001,17.5,3.7,0
2024-08-13,W001,21.2,2.6,0
2024-08-14,W001,24.4,2.2,0
2024-08-15,W001,22.3,5.0,0
2024-08-16,W001,20.5,6.1,0
2024-08-17,W001,23.5,0.8,0
2024-08-18,W001,17.9,0.0,0
2024-08-19,W001,21.2,0.4,0
2024-08-20,W001,22.5,19.0,1
2024-08-21,W001,16.7,0.2,0
2024-08-22,W001,18.1,1.9,0
2024-08-23,W001,20.1,1.0,0
2024-08-24,W001,18.2,1.3,0
2024-08-25,W001,18.9,3.4,0
2024-08-26,W001,24.4,1.4,0
2024-08-27,W001,16.7,1.9,0
2024-08-28,W001,15.7,2.7,0
2024-08-29,W001,20.8,3.8,0
2024-08-30,W001,17.1,0.2,0
2024-08-31,W001,18.3,0.7,0
2024-09-01,W001,15.2,2.3,0
2024-09-02,W001,19.3,4.8,0
2024-09-03,W001,14.4,2.0,0
2024-09-04,W001,17.7,0.4,0
2024-09-05,W001,16.6,3.2,0
2024-09-06,W001,18.7,0.1,0
2024-09-07,W001,16.8,6.8,0
2024-09-08,W001,16.1,1.1,0
2024-09-09,W001,15.8,1.3,0
2024-09-10,W001,12.8,0.1,0
2024-09-11,W001,14.5,7.3,0
2024-09-12,W001,24.0,0.2,0
2024-09-13,W001,16.6,5.6,0
2024-09-14,W001,19.8,0.8,0
2024-09-15,W001,20.7,1.1,0
2024-09-16,W001,23.9,3.0,0
2024-09-17,W001,17.5,0.3,0
2024-09-18,W001,15.2,1.6,0
2024-09-19,W001,17.9,0.1,0
2024-09-20,W001,15.0,1.2,0
2024-09-21,W001,15.7,1.9,0
2024-09-22,W001,17.8,3.1,0
2024-09-23,W001,14.0,0.0,0
2024-09-24,W001,12.7,1.5,0
2024-09-25,W001,16.3,1.3,0
2024-09-26,W001,21.5,3.5,0
2024-09-27,W001,17.7,0.3,0
2024-09-28,W001,15.4,1.0,0
2024-09-29,W001,17.7,0.9,0
2024-09-30,W001,18.2,1.9,0
2024-10-01,W001,13.3,0.6,0
2024-10-02,W001,17.6,0.9,0
2024-10-03,W001,17.3,0.3,0
2024-10-04,W001,20.7,7.0,0
2024-10-05,W001,16.6,2.3,0
2024-10-06,W001,12.6,0.5,0
2024-10-07,W001,15.9,1.1,0
2024-10-08,W001,17.6,1.7,0
2024-10-09,W001,16.4,0.6,0
2024-10-10,W001,19.9,1.4,0
2024-10-11,W001,13.4,1.8,0
2024-10-12,W001,18.8,1.5,0
2024-10-13,W001,12.5,1.3,0
2024-10-14,W001,23.1,2.4,0
2024-10-15,W001,17.6,0.7,0
2024-10-16,W001,18.1,0.5,0
2024-10-17,W001,21.9,0.2,0
2024-10-18,W001,14.9,0.0,0
2024-10-19,W001,17.5,0.9,0
2024-10-20,W001,16.0,1.4,0
2024-10-21,W001,15.3,0.1,0
2024-10-22,W001,17.8,2.8,0
2024-10-23,W001,14.6,1.0,0
2024-10-24,W001,19.0,0.3,0
2024-10-25,W001,16.3,2.4,0
2024-10-26,W001,17.9,0.4,0
2024-10-27,W001,19.8,1.2,0
2024-10-28,W001,16.1,2.5,0
2024-10-29,W001,16.0,4.4,0
2024-10-30,W001,21.6,0.3,0
2024-10-31,W001,21.0,8.0,0
2024-11-01,W001,23.6,4.2,0
2024-11-02,W001,23.4,1.3,0
2024-11-03,W001,22.3,2.9,0
2024-11-04,W001,12.4,3.3,0
2024-11-05,W001,18.2,1.2,0
2024-11-06,W001,21.1,2.4,0
2024-11-07,W001,21.6,12.8,0
2024-11-08,W001,21.9,2.1,0
2024-11-09,W001,21.7,0.2,0
2024-11-10,W001,23.8,3.1,0
2024-11-11,W001,24.1,11.7,0
2024-11-12,W001,21.2,3.2,0
2024-11-13,W001,20.5,6.2,0
2024-11-14,W001,21.2,0.1,0
2024-11-15,W001,22.1,0.2,0
2024-11-16,W001,23.8,3.3,0
2024-11-17,W001,20.9,3.4,0
2024-11-18,W001,23.7,1.2,0
2024-11-19,W001,18.8,1.7,0
2024-11-20,W001,18.8,2.7,0
2024-11-21,W001,19.2,3.5,0
2024-11-22,W001,15.2,0.3,0
2024-11-23,W001,24.8,0.3,0
2024-11-24,W001,19.9,1.7,0
2024-11-25,W001,21.1,2.3,0
2024-11-26,W001,23.3,0.9,0
